camera_id,image_id,car_count,bus_count,truck_count,motorcycle_count,vehicle_count,congestion_level,model_name,conf,imgsz,analyzed_at
TCM001,TCM001_0,3,0,1,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:40
TCM001,TCM001_1,14,1,0,0,15,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:41
TCM001,TCM001_2,16,0,0,0,16,red,yolo26n.pt,0.4,1280,2026-06-01T18:23:41
TCM001,TCM001_3,11,0,0,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:41
TCM002,TCM002_0,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:41
TCM002,TCM002_1,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:42
TCM002,TCM002_2,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:42
TCM003,TCM003_0,12,1,0,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:42
TCM003,TCM003_1,11,0,0,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:42
TCM003,TCM003_2,15,0,0,0,15,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:43
TCM004,TCM004_0,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:43
TCM004,TCM004_1,9,0,0,1,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:43
TCM004,TCM004_2,10,0,0,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:43
TCM004,TCM004_3,2,0,1,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:44
TCM005,TCM005_0,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:44
TCM005,TCM005_1,4,0,0,0,4,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:44
TCM006,TCM006_0,15,0,0,0,15,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:44
TCM006,TCM006_1,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:45
TCM006,TCM006_2,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:45
TCM006,TCM006_3,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:45
TCM007,TCM007_0,10,0,0,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:45
TCM007,TCM007_1,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:46
TCM007,TCM007_2,16,0,0,0,16,red,yolo26n.pt,0.4,1280,2026-06-01T18:23:46
TCM007,TCM007_3,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:46
TCM008,TCM008_0,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:47
TCM008,TCM008_1,13,0,0,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:47
TCM008,TCM008_2,23,0,0,0,23,red,yolo26n.pt,0.4,1280,2026-06-01T18:23:47
TCM008,TCM008_3,10,0,0,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:47
TCM009,TCM009_0,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:48
TCM009,TCM009_1,5,0,1,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:48
TCM009,TCM009_2,9,0,0,0,9,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:48
TCM009,TCM009_3,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:49
TCM010,TCM010_0,12,0,0,0,12,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:49
TCM010,TCM010_1,13,0,0,0,13,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:49
TCM010,TCM010_2,13,0,1,0,14,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:49
TCM010,TCM010_3,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:50
TCM011,TCM011_0,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:50
TCM011,TCM011_1,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:50
TCM011,TCM011_2,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:51
TCM011,TCM011_3,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:51
TCM012,TCM012_0,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:51
TCM012,TCM012_1,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:51
TCM012,TCM012_2,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:52
TCM012,TCM012_3,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:23:52
TCM013,TCM013_0,4,0,2,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:52
TCM013,TCM013_1,17,0,0,0,17,red,yolo26n.pt,0.4,1280,2026-06-01T18:23:53
TCM013,TCM013_2,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:23:53
